neighbourhood,room_type,price,minimum_nights,availability_365,accommodates,District,rental_type,license_disclosed
Little Portugal,Entire home/apt,100,28,0,3,Toronto,Short-term rental,No
Weston Pellam Park,Shared room,100,28,0,1,York,Short-term rental,No
Dovercourt Wallace Emerson Junction,Entire home/apt,130,90,192,1,Toronto,Long-term rental,No
South Parkdale,Entire home/apt,95,28,0,5,Toronto,Short-term rental,No
Niagara,Entire home/apt,552,28,363,7,Toronto,Short-term rental,No
Waterfront Communities The Island,Entire home/apt,300,28,358,2,Toronto,Short-term rental,No
South Riverdale,Entire home/apt,600,90,356,4,Toronto,Long-term rental,No
Annex,Entire home/apt,70,28,0,2,Toronto,Short-term rental,No
Little Portugal,Private room,60,29,136,3,Toronto,Long-term rental,No
Waterfront Communities The Island,Entire home/apt,499,28,178,4,Toronto,Short-term rental,No
South Parkdale,Entire home/apt,65,28,0,2,Toronto,Short-term rental,No
Mount Pleasant East,Entire home/apt,449,28,365,7,Toronto,Short-term rental,No
Junction Area,Entire home/apt,120,28,245,2,Toronto,Short-term rental,No
Trinity Bellwoods,Entire home/apt,45,28,0,2,Toronto,Short-term rental,No
Waterfront Communities The Island,Entire home/apt,93,30,121,2,Toronto,Long-term rental,No
Waterfront Communities The Island,Entire home/apt,150,2,6,4,Toronto,Short-term rental,Yes
Humewood Cedarvale,Private room,30,28,0,1,York,Short-term rental,No
Morningside,Entire home/apt,190,28,301,8,Scarborough,Short-term rental,No
Kensington Chinatown,Entire home/apt,85,28,0,2,Toronto,Short-term rental,No
East End Danforth,Entire home/apt,69,28,294,2,Toronto,Short-term rental,No
East End Danforth,Entire home/apt,68,28,190,2,Toronto,Short-term rental,No
Waterfront Communities The Island,Entire home/apt,139,28,282,2,Toronto,Short-term rental,No
Willowdale East,Entire home/apt,108,28,216,2,North York,Short-term rental,No
Cabbagetown South St James Town,Entire home/apt,225,28,358,2,Toronto,Short-term rental,No
High Park North,Entire home/apt,95,28,289,2,Toronto,Short-term rental,No
Birchcliffe Cliffside,Private room,110,3,0,2,Scarborough,Short-term rental,Yes
Yonge Eglinton,Entire home/apt,179,29,282,8,Toronto,Long-term rental,No
Dovercourt Wallace Emerson Junction,Entire home/apt,125,28,0,5,Toronto,Short-term rental,No
Kensington Chinatown,Entire home/apt,130,85,344,2,Toronto,Long-term rental,No
Yonge Eglinton,Private room,91,28,165,2,Toronto,Short-term rental,Yes
Annex,Entire home/apt,300,28,99,4,Toronto,Short-term rental,No
South Riverdale,Entire home/apt,85,28,74,2,Toronto,Short-term rental,Yes
South Riverdale,Entire home/apt,80,31,148,1,Toronto,Long-term rental,No
Dovercourt Wallace Emerson Junction,Private room,61,1,334,1,Toronto,Short-term rental,Yes
